brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date,city_encoded,state_encoded
74001.0,for_sale,225000.0,5.0,3.0,0.15,1406923.0,Pittsfield,Massachusetts,1201.0,2549.0,1997-12-01,51,2
4006.0,for_sale,209900.0,4.0,2.0,0.21,840698.0,Pittsfield,Massachusetts,1201.0,1200.0,2005-07-28,51,2
65919.0,for_sale,355000.0,3.0,3.0,0.52,1089031.0,Cheshire,Massachusetts,1225.0,2191.0,2007-12-03,52,2
11836.0,for_sale,629900.0,4.0,3.0,0.46,653152.0,Pittsfield,Massachusetts,1201.0,2908.0,2010-12-01,51,2
107912.0,for_sale,400000.0,3.0,2.0,2.99,421540.0,Otis,Massachusetts,1253.0,2372.0,1993-10-06,54,2
98460.0,for_sale,40000.0,2.0,1.0,0.29,1314092.0,Winchester,Connecticut,6098.0,1450.0,2015-03-13,55,3
95102.0,for_sale,59900.0,3.0,2.0,0.21,1193442.0,Winchester,Connecticut,6098.0,1248.0,2004-03-17,55,3
107912.0,for_sale,556000.0,4.0,3.0,3.35,482355.0,Barkhamsted,Connecticut,6063.0,2626.0,2022-01-04,56,3
38466.0,for_sale,249900.0,3.0,1.0,0.39,733236.0,Enfield,Connecticut,6082.0,1494.0,2015-07-06,36,3
12878.0,for_sale,365000.0,5.0,3.0,13.8,843967.0,Winchester,Connecticut,6098.0,2482.0,2005-05-02,55,3
43035.0,for_sale,429000.0,3.0,2.0,0.16,1010288.0,Great Barrington,Massachusetts,1230.0,1500.0,1991-03-01,57,2
